motif_id	cisbp_tf_id	archive_motif_id	tf_status	tf_name	source_file	alternative_count	alternatives	status
M09627_2.00	T095177_3.10	M09627_3.10	D	ZBTB18	TF_Information.txt	0		OK
M09628_2.00	T095192_3.10	M09628_3.10	D	ZFP3	TF_Information.txt	0		OK
M09629_2.00	T095199_3.10	M09629_3.10	D	ZNF322	TF_Information.txt	0		OK
M09630_2.00	T095200_3.10	M09630_3.10	D	ZNF467	TF_Information.txt	0		OK
M09631_2.00	T095211_3.10	M09631_3.10	D	ZSCAN22	TF_Information.txt	0		OK
M09632_2.00	T095267_3.10	M09632_3.10	D	ZNF669	TF_Information.txt	0		OK
M09633_2.00	T095278_3.10	M09633_3.10	D	ZNF33A	TF_Information.txt	0		OK
M09634_2.00	T095285_3.10	M09634_3.10	D	ZNF250	TF_Information.txt	0		OK
M09635_2.00	T095310_3.10	M09635_3.10	D	ZNF136	TF_Information.txt	0		OK
M09636_2.00	T095345_3.10	M09636_3.10	D	ZNF675	TF_Information.txt	0		OK
M09637_2.00	T095365_3.10	M09637_3.10	D	ZNF71	TF_Information.txt	0		OK
M09638_2.00	T095369_3.10	M09638_3.10	D	ZNF273	TF_Information.txt	0		OK
M09639_2.00	T095409_3.10	M09639_3.10	D	ZBTB12	TF_Information.txt	0		OK
M09640_2.00	T095459_3.10	M09640_3.10	D	ZSCAN31	TF_Information.txt	0		OK
M09641_2.00	T076454_3.10	M09641_3.10	D	ZSCAN29	TF_Information.txt	1	T076455_3.10	AMBIGUOUS
M09642_2.00	T094776_3.10	M09642_3.10	D	ZNF263	TF_Information.txt	0		OK
M09643_2.00	T094778_3.10	M09643_3.10	D	ZNF200	TF_Information.txt	0		OK
M09644_2.00	T094782_3.10	M09644_3.10	D	ZNF582	TF_Information.txt	0		OK
M09645_2.00	T094784_3.10	M09645_3.10	D	ZFP64	TF_Information.txt	0		OK
M09646_2.00	T094789_3.10	M09646_3.10	D	PRDM1	TF_Information.txt	0		OK
M09647_2.00	T094790_3.10	M09647_3.10	D	PRDM6	TF_Information.txt	0		OK
M09648_2.00	T094793_3.10	M09648_3.10	D	ZNF76	TF_Information.txt	1	T095041_3.10	AMBIGUOUS
M09649_2.00	T094801_3.10	M09649_3.10	D	ZNF37A	TF_Information.txt	0		OK
