source	motif_id	mapped_id	label	url	note
cisbp	M04326_2.00	T034282_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034282_3.10	CisBP TF report page
cisbp	M04327_2.00	T034282_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034282_3.10	CisBP TF report page
cisbp	M04328_2.00	T034283_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034283_3.10	CisBP TF report page
cisbp	M04329_2.00	T034283_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034283_3.10	CisBP TF report page
cisbp	M04330_2.00	T034283_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034283_3.10	CisBP TF report page
cisbp	M04331_2.00	T034283_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034283_3.10	CisBP TF report page
cisbp	M04332_2.00	T034283_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034283_3.10	CisBP TF report page
cisbp	M04333_2.00	T034283_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034283_3.10	CisBP TF report page
cisbp	M04334_2.00	T034283_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034283_3.10	CisBP TF report page
cisbp	M04335_2.00	T034283_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034283_3.10	CisBP TF report page
cisbp	M04336_2.00	T034285_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034285_3.10	CisBP TF report page
cisbp	M04337_2.00	T034285_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034285_3.10	CisBP TF report page
cisbp	M04338_2.00	T034286_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034286_3.10	CisBP TF report page
cisbp	M04339_2.00	T034286_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034286_3.10	CisBP TF report page
cisbp	M04340_2.00	T034287_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034287_3.10	CisBP TF report page
cisbp	M04341_2.00	T034288_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034288_3.10	CisBP TF report page
cisbp	M04342_2.00	T034288_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034288_3.10	CisBP TF report page
cisbp	M04343_2.00	T034289_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034289_3.10	CisBP TF report page
cisbp	M04344_2.00	T034289_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034289_3.10	CisBP TF report page
cisbp	M04345_2.00	T034289_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034289_3.10	CisBP TF report page
cisbp	M04346_2.00	T034289_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034289_3.10	CisBP TF report page
cisbp	M04347_2.00	T034291_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034291_3.10	CisBP TF report page
cisbp	M04348_2.00	T034291_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034291_3.10	CisBP TF report page
cisbp	M04349_2.00	T034292_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034292_3.10	CisBP TF report page
cisbp	M04350_2.00	T034292_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034292_3.10	CisBP TF report page
cisbp	M04351_2.00	T034295_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034295_3.10	CisBP TF report page
cisbp	M04352_2.00	T034296_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034296_3.10	CisBP TF report page
cisbp	M04353_2.00	T034296_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034296_3.10	CisBP TF report page
cisbp	M04354_2.00	T034296_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034296_3.10	CisBP TF report page
cisbp	M04355_2.00	T034296_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034296_3.10	CisBP TF report page
cisbp	M04356_2.00	T034298_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034298_3.10	CisBP TF report page
cisbp	M04357_2.00	T034298_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034298_3.10	CisBP TF report page
cisbp	M04358_2.00	T034299_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034299_3.10	CisBP TF report page
cisbp	M04359_2.00	T034299_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034299_3.10	CisBP TF report page
cisbp	M04360_2.00	T034302_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034302_3.10	CisBP TF report page
cisbp	M04361_2.00	T034302_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034302_3.10	CisBP TF report page
cisbp	M04362_2.00	T034305_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034305_3.10	CisBP TF report page
cisbp	M04363_2.00	T034305_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034305_3.10	CisBP TF report page
cisbp	M04364_2.00	T034307_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034307_3.10	CisBP TF report page
cisbp	M04365_2.00	T034307_3.10	Open in CisBP	https://cisbp.ccbr.utoronto.ca/TFnewreport.php?searchTF=T034307_3.10	CisBP TF report page
