motif_id	jaspar_name	jaspar_uniprot_id	tf_exists_in_modcredb	motif_file_exists	motif_ref_exists	db_evidence_type	db_mapping_type	matrix_status	status
MA0067.3	PAX2		not_assessed	yes	no			usable	metadata_unavailable
MA0068.1	Pax4		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0068.2	PAX4		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0069.1	PAX6		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0070.1	PBX1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0070.2	PBX1		not_assessed	yes	no			usable	metadata_unavailable
MA0071.1	RORA		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0072.1	RORA		not_assessed	yes	no			usable	metadata_unavailable
MA0072.2	RORA		not_assessed	yes	no			usable	metadata_unavailable
MA0073.1	RREB1		not_assessed	yes	yes	identical;relative_homologous	direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0073.2	RREB1		not_assessed	yes	no			usable	metadata_unavailable
MA0074.1	RXRA::VDR		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0075.1	Prrx2		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0075.2	Prrx2		not_assessed	yes	no			usable	metadata_unavailable
MA0075.3	PRRX2		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0075.4	PRRX2		not_assessed	yes	no			usable	metadata_unavailable
MA0076.1	ELK4		not_assessed	yes	yes	identical;relative_homologous	direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0076.2	ELK4		not_assessed	yes	no			usable	metadata_unavailable
MA0076.3	ELK4		not_assessed	yes	no			usable	metadata_unavailable
MA0077.1	SOX9		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0077.2	SOX9		not_assessed	yes	no			usable	metadata_unavailable
MA0078.1	Sox17		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0078.2	Sox17		not_assessed	yes	no			usable	metadata_unavailable
MA0078.3	Sox17		not_assessed	yes	no			usable	metadata_unavailable
MA0079.1	SP1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0079.2	SP1		not_assessed	yes	no			usable	metadata_unavailable
MA0079.3	SP1		not_assessed	yes	no			usable	metadata_unavailable
MA0079.4	SP1		not_assessed	yes	no			usable	metadata_unavailable
MA0079.5	SP1		not_assessed	yes	no			usable	metadata_unavailable
MA0080.1	SPI1		not_assessed	yes	yes	identical	direct_or_identical	usable	metadata_unavailable
MA0080.2	SPI1		not_assessed	yes	no			usable	metadata_unavailable
MA0080.3	Spi1		not_assessed	yes	no			usable	metadata_unavailable
MA0080.4	SPI1		not_assessed	yes	no			usable	metadata_unavailable
MA0080.5	SPI1		not_assessed	yes	no			usable	metadata_unavailable
MA0080.6	Spi1		not_assessed	yes	no			usable	metadata_unavailable
MA0080.7	Spi1		not_assessed	yes	no			usable	metadata_unavailable
MA0081.1	SPIB		not_assessed	yes	yes	identical	direct_or_identical	usable	metadata_unavailable
MA0081.2	SPIB		not_assessed	yes	no			usable	metadata_unavailable
MA0081.3	SPIB		not_assessed	yes	no			usable	metadata_unavailable
MA0082.1	squamosa		not_assessed	yes	no			usable	metadata_unavailable
MA0082.2	squamosa		not_assessed	yes	no			usable	metadata_unavailable
MA0083.1	SRF		not_assessed	yes	yes	homologous;identical	close_homolog;direct_or_identical	usable	metadata_unavailable
MA0083.2	SRF		not_assessed	yes	no			usable	metadata_unavailable
MA0083.3	SRF		not_assessed	yes	no			usable	metadata_unavailable
MA0084.1	SRY		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0084.2	SRY		not_assessed	yes	no			usable	metadata_unavailable
MA0085.1	Su(H)		not_assessed	yes	no			usable	metadata_unavailable
MA0085.2	Su(H)		not_assessed	yes	no			usable	metadata_unavailable
MA0086.1	sna		not_assessed	yes	no			usable	metadata_unavailable
MA0086.2	sna		not_assessed	yes	no			usable	metadata_unavailable
MA0086.3	sna		not_assessed	yes	no			usable	metadata_unavailable
MA0087.1	Sox5		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0087.2	Sox5		not_assessed	yes	no			usable	metadata_unavailable
MA0087.3	Sox5		not_assessed	yes	no			usable	metadata_unavailable
MA0088.1	znf143		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0088.2	ZNF143		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0089.1	MAFG::NFE2L1		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0089.2	MAFG::NFE2L1		not_assessed	yes	yes	homologous;identical	close_homolog;direct_or_identical	usable	metadata_unavailable
MA0089.3	MAFG::NFE2L1		not_assessed	yes	no			usable	metadata_unavailable
MA0090.1	TEAD1		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0090.2	TEAD1		not_assessed	yes	no			usable	metadata_unavailable
MA0090.3	TEAD1		not_assessed	yes	no			usable	metadata_unavailable
MA0090.4	TEAD1		not_assessed	yes	no			usable	metadata_unavailable
MA0091.1	TAL1::TCF3		not_assessed	yes	yes	homologous;identical;relative_homologous	close_homolog;direct_or_identical;distant_homolog	usable	metadata_unavailable
MA0091.2	TAL1::TCF3		not_assessed	yes	no			usable	metadata_unavailable
MA0092.1	Hand1::Tcf3		not_assessed	yes	yes	homologous;relative_homologous	close_homolog;distant_homolog	usable	metadata_unavailable
MA0092.2	Hand1::Tcf3		not_assessed	yes	no			usable	metadata_unavailable
